Date,Open,High,Low,Close,Adj Close,Volume
2015-07-10,262.220001,263.000000,257.820007,259.149994,259.149994,2610858
2015-07-13,262.250000,262.549988,256.049988,262.160004,262.160004,2960319
2015-07-14,262.100006,265.989899,260.510010,265.649994,265.649994,1907641
2015-07-15,266.739990,267.489990,262.079987,263.140015,263.140015,2021621
2015-07-16,264.220001,267.200012,263.160004,266.679993,266.679993,1615961
2015-07-17,272.500000,275.540009,268.250000,274.660004,274.660004,5004099
2015-07-20,275.000000,286.649994,272.540009,282.260010,282.260010,4978454
2015-07-21,270.049988,273.500000,266.549988,266.769989,266.769989,6108686
2015-07-22,261.269989,269.440002,260.859985,267.869995,267.869995,3104960
2015-07-23,269.649994,269.899994,265.269989,267.200012,267.200012,2227239
2015-07-24,267.380005,271.089996,263.920013,265.410004,265.410004,2836498
2015-07-27,262.429993,264.432098,250.789993,253.009995,253.009995,4694192
2015-07-28,255.750000,265.399994,251.837296,264.820007,264.820007,3895808
2015-07-29,264.269989,267.890015,262.000000,263.820007,263.820007,2790095
2015-07-30,262.690002,266.940002,262.109985,266.790009,266.790009,2034560
2015-07-31,267.600006,269.359894,265.122986,266.149994,266.149994,2222552
2015-08-03,266.290009,266.709900,257.070007,259.989990,259.989990,2553474
2015-08-04,260.010010,266.720001,258.339996,266.279999,266.279999,2352530
2015-08-05,263.579987,271.000000,260.399994,270.130005,270.130005,6214319
2015-08-06,249.539993,255.000000,236.119995,246.130005,246.130005,14623754
2015-08-07,243.580002,243.729996,238.389999,242.509995,242.509995,5073390
2015-08-10,238.149994,242.970001,236.050003,241.139999,241.139999,4185860
2015-08-11,237.149994,239.300003,234.440002,237.369995,237.369995,4264939
2015-08-12,235.000000,239.770004,232.740005,238.169998,238.169998,3739157
2015-08-13,239.860001,246.479996,239.119995,242.509995,242.509995,4689182
2015-08-14,247.240005,247.929993,241.770004,243.149994,243.149994,4364810
2015-08-17,255.559998,256.589996,250.509995,254.990005,254.990005,7176690
2015-08-18,255.380005,260.950012,253.560104,260.720001,260.720001,4195035
2015-08-19,260.329987,260.649994,255.020004,255.250000,255.250000,3604282
2015-08-20,252.059998,254.559998,241.899994,242.179993,242.179993,4905757
2015-08-21,236.000000,243.799896,230.509995,230.770004,230.770004,6590234
2015-08-24,202.789993,231.399994,195.000000,218.869995,218.869995,9581585
2015-08-25,230.520004,230.899994,219.119995,220.029999,220.029999,4327294
2015-08-26,227.929993,228.000000,215.509995,224.839996,224.839996,4963042
2015-08-27,231.000000,244.750000,230.809998,242.990005,242.990005,7655959
2015-08-28,241.860001,251.449997,241.570007,248.479996,248.479996,5513673
2015-08-31,245.619995,254.949997,245.509995,249.059998,249.059998,4700232
2015-09-01,240.339996,246.000000,236.970001,238.630005,238.630005,5454765
2015-09-02,245.300003,247.880005,239.779999,247.690002,247.690002,4629174
2015-09-03,252.059998,252.080002,245.000000,245.570007,245.570007,4194772
2015-09-04,240.889999,244.089996,238.199997,241.929993,241.929993,3689153
2015-09-08,245.050003,249.160004,244.050003,248.169998,248.169998,3138231
2015-09-09,252.050003,254.250000,248.302994,248.910004,248.910004,3390788
2015-09-10,247.229996,250.723099,245.330002,248.479996,248.479996,2709024
2015-09-11,247.639999,250.240005,244.729996,250.240005,250.240005,2350844
2015-09-14,251.100006,254.250000,249.669998,253.190002,253.190002,2890851
2015-09-15,252.750000,254.600006,249.500000,253.570007,253.570007,2933466
2015-09-16,253.039993,262.880005,252.880005,262.250000,262.250000,4417081
2015-09-17,263.959991,265.500000,260.690002,262.070007,262.070007,3585812
2015-09-18,257.959991,263.820007,257.500000,260.619995,260.619995,3763064
2015-09-21,263.980011,271.570007,255.800003,264.200012,264.200012,6120155
2015-09-22,259.029999,262.649994,255.869995,260.940002,260.940002,0
2015-09-23,261.950012,262.079987,257.583801,261.059998,261.059998,2600778
2015-09-24,259.529999,263.450012,256.209991,263.119995,263.119995,3448191
2015-09-25,266.609985,266.910004,256.149994,256.910004,256.910004,3773392
2015-09-28,257.350006,259.790009,246.610001,248.429993,248.429993,4901057
2015-09-29,250.460007,254.729996,245.460007,246.649994,246.649994,3703154
2015-09-30,252.000000,252.399994,242.339996,248.399994,248.399994,4929582
2015-10-01,247.509995,248.500000,237.130005,239.880005,239.880005,4572964
2015-10-02,235.600006,247.699997,234.929993,247.570007,247.570007,4423982
2015-10-05,248.839996,249.839996,244.130005,246.149994,246.149994,3689865
2015-10-06,240.000000,243.029999,235.580002,241.460007,241.460007,5235897
2015-10-07,236.630005,237.699997,229.119995,231.960007,231.960007,6813959
2015-10-08,230.080002,230.720001,221.309998,226.720001,226.720001,6133216
2015-10-09,220.929993,224.369995,218.360001,220.690002,220.690002,6158370
2015-10-12,222.990005,223.000000,215.270004,215.580002,215.580002,3836303
2015-10-13,213.279999,222.522003,211.130005,219.250000,219.250000,5171535
2015-10-14,220.669998,220.949997,215.429993,216.880005,216.880005,3104446
2015-10-15,216.429993,221.729996,213.699997,221.309998,221.309998,2844233
2015-10-16,223.039993,230.480499,222.869995,227.009995,227.009995,4334493
2015-10-19,226.500000,231.149994,224.940002,228.100006,228.100006,2507895
2015-10-20,227.720001,228.600006,202.000000,213.029999,213.029999,14900047
2015-10-21,211.990005,214.809998,208.800003,210.089996,210.089996,4183471
2015-10-22,211.559998,215.750000,209.399994,211.720001,211.720001,2825159
2015-10-23,215.000000,215.350006,207.690002,209.089996,209.089996,4235462
2015-10-26,211.380005,215.880005,210.000000,215.259995,215.259995,3391438
2015-10-27,214.839996,217.100006,207.509995,210.350006,210.350006,3519449
2015-10-28,211.309998,213.449997,208.300003,212.960007,212.960007,2728593
2015-10-29,211.750000,213.748093,210.639999,211.630005,211.630005,1805032
2015-10-30,210.399994,211.630005,203.889999,206.929993,206.929993,4438901
2015-11-02,208.919998,215.800003,207.220001,213.789993,213.789993,3927944
2015-11-03,213.850006,214.440002,207.750000,208.350006,208.350006,8332486
2015-11-04,227.000000,232.740005,225.199997,231.630005,231.630005,12726366
2015-11-05,230.580002,234.584305,229.190002,231.770004,231.770004,4496843
2015-11-06,230.699997,233.358994,229.500000,232.360001,232.360001,2445293
2015-11-09,232.990005,232.990005,224.309998,225.330002,225.330002,3850860
2015-11-10,223.479996,223.699997,216.080002,216.500000,216.500000,4617007
2015-11-11,217.770004,219.479996,213.630005,219.080002,219.080002,3347806
2015-11-12,217.850006,219.000000,212.660004,212.940002,212.940002,2915900
2015-11-13,212.949997,212.990005,206.520004,207.190002,207.190002,3430327
2015-11-16,206.089996,214.979996,205.800003,214.309998,214.309998,2925395
2015-11-17,215.199997,216.000000,211.399994,214.000000,214.000000,2148679
2015-11-18,214.500000,221.380005,212.520004,221.070007,221.070007,2811900
2015-11-19,220.539993,226.190002,220.300003,221.800003,221.800003,2504375
2015-11-20,223.490005,225.000000,213.580002,220.009995,220.009995,4400722
2015-11-23,217.350006,219.179993,214.679794,217.750000,217.750000,2526199
2015-11-24,215.369995,221.000000,215.000000,218.250000,218.250000,2480293
2015-11-25,221.339996,230.824997,220.375000,229.639999,229.639999,3990779
2015-11-27,231.059998,232.250000,227.009995,231.610001,231.610001,1949353
2015-11-30,231.789993,234.279999,229.080002,230.259995,230.259995,2659813
2015-12-01,231.059998,238.000000,231.050003,237.190002,237.190002,3733955
2015-12-02,237.000000,238.600006,231.229996,231.990005,231.990005,2981468
